Meeting ID,Host,Feature,Event Type,Event time,View Count,Regeneration Count
M09000002,user4339@globalenterprise.com,Summary,Generated,2024-09-07 00:17:00,3,1
M09000003,user7847@globalenterprise.com,Summary,Generated,2024-09-29 01:38:00,3,0
M09000004,user7718@globalenterprise.com,Summary,Generated,2024-09-23 00:35:00,3,0
M09000005,user8513@globalenterprise.com,Summary,Generated,2024-09-05 01:14:00,5,2
M09000006,user2650@globalenterprise.com,Summary,Generated,2024-09-22 00:22:00,5,1
M09000007,user730@globalenterprise.com,Summary,Generated,2024-09-19 01:33:00,3,1
M09000008,user5578@globalenterprise.com,Summary,Generated,2024-09-19 00:23:00,5,2
M09000009,user2862@globalenterprise.com,Summary,Generated,2024-09-28 00:25:00,4,2
M09000011,user1856@globalenterprise.com,Summary,Generated,2024-09-26 01:28:00,5,1
M09000012,user4686@globalenterprise.com,Summary,Generated,2024-09-05 01:06:00,5,0
M09000013,user8225@globalenterprise.com,Summary,Generated,2024-09-20 01:53:00,3,0
M09000014,user1318@globalenterprise.com,Summary,Generated,2024-09-20 01:45:00,4,2
M09000015,user1170@globalenterprise.com,Summary,Generated,2024-09-21 00:54:00,2,0
M09000016,user5065@globalenterprise.com,Summary,Generated,2024-09-07 01:36:00,4,0
M09000018,user5765@globalenterprise.com,Summary,Generated,2024-09-17 01:38:00,3,0
M09000019,user3699@globalenterprise.com,Summary,Generated,2024-09-06 01:00:00,2,0
M09000020,user5223@globalenterprise.com,Summary,Generated,2024-09-17 01:10:00,2,0
M09000021,user6069@globalenterprise.com,Summary,Generated,2024-09-25 00:32:00,5,1
M09000022,user2463@globalenterprise.com,Summary,Generated,2024-09-05 01:13:00,5,0
M09000023,user4522@globalenterprise.com,Summary,Generated,2024-09-13 00:44:00,4,1
M09000025,user544@globalenterprise.com,Summary,Generated,2024-09-29 00:35:00,2,2
M09000026,user7648@globalenterprise.com,Summary,Generated,2024-09-14 01:05:00,5,1
M09000027,user1228@globalenterprise.com,Summary,Generated,2024-09-23 01:23:00,3,1
M09000028,user1445@globalenterprise.com,Summary,Generated,2024-09-09 01:37:00,2,1
M09000029,user2715@globalenterprise.com,Summary,Generated,2024-09-14 01:14:00,4,0
M09000030,user8146@globalenterprise.com,Summary,Generated,2024-09-04 01:26:00,3,0
M09000031,user4253@globalenterprise.com,Summary,Generated,2024-09-24 01:58:00,4,1
M09000032,user4402@globalenterprise.com,Summary,Generated,2024-09-07 01:01:00,3,1
M09000033,user1796@globalenterprise.com,Summary,Generated,2024-09-28 01:28:00,3,0
M09000034,user6521@globalenterprise.com,Summary,Generated,2024-09-07 01:28:00,5,0
M09000036,user5519@globalenterprise.com,Summary,Generated,2024-09-24 00:29:00,3,2
M09000037,user4880@globalenterprise.com,Summary,Generated,2024-09-26 00:20:00,4,0
M09000038,user6738@globalenterprise.com,Summary,Generated,2024-09-13 00:48:00,2,2
M09000039,user1805@globalenterprise.com,Summary,Generated,2024-09-14 00:53:00,5,2
M09000040,user2816@globalenterprise.com,Summary,Generated,2024-09-12 00:34:00,3,0
M09000041,user2958@globalenterprise.com,Summary,Generated,2024-09-07 00:48:00,2,0
M09000042,user7042@globalenterprise.com,Summary,Generated,2024-09-24 00:56:00,2,2
M09000043,user5183@globalenterprise.com,Summary,Generated,2024-09-18 00:55:00,3,1
M09000045,user607@globalenterprise.com,Summary,Generated,2024-09-06 00:32:00,2,1
M09000046,user4609@globalenterprise.com,Summary,Generated,2024-09-03 01:35:00,3,1
M09000048,user5078@globalenterprise.com,Summary,Generated,2024-09-04 01:12:00,3,1
M09000049,user811@globalenterprise.com,Summary,Generated,2024-09-19 00:18:00,5,2
M09000050,user7070@globalenterprise.com,Summary,Generated,2024-09-20 01:01:00,5,1
M09000051,user2409@globalenterprise.com,Summary,Generated,2024-09-02 01:56:00,3,2
M09000052,user5587@globalenterprise.com,Summary,Generated,2024-09-16 01:03:00,3,0
M09000053,user5818@globalenterprise.com,Summary,Generated,2024-09-15 01:53:00,2,2
M09000055,user480@globalenterprise.com,Summary,Generated,2024-09-21 00:19:00,5,1
M09000056,user1094@globalenterprise.com,Summary,Generated,2024-09-13 01:07:00,3,0
M09000057,user4944@globalenterprise.com,Summary,Generated,2024-09-17 00:29:00,4,2
M09000058,user2139@globalenterprise.com,Summary,Generated,2024-09-07 00:17:00,2,1
M09000059,user5976@globalenterprise.com,Summary,Generated,2024-09-16 01:08:00,4,2
M09000060,user6018@globalenterprise.com,Summary,Generated,2024-09-22 01:52:00,3,2
M09000061,user1639@globalenterprise.com,Summary,Generated,2024-09-11 00:52:00,5,2
M09000062,user1430@globalenterprise.com,Summary,Generated,2024-09-13 01:49:00,4,1
M09000063,user8049@globalenterprise.com,Summary,Generated,2024-09-25 01:41:00,5,1
M09000064,user2733@globalenterprise.com,Summary,Generated,2024-09-07 01:48:00,2,1
M09000066,user2677@globalenterprise.com,Summary,Generated,2024-09-18 00:41:00,5,2
M09000068,user2028@globalenterprise.com,Summary,Generated,2024-09-03 01:18:00,4,1
M09000069,user1298@globalenterprise.com,Summary,Generated,2024-09-17 01:21:00,3,1
M09000072,user2458@globalenterprise.com,Summary,Generated,2024-09-21 00:56:00,2,1
M09000073,user4462@globalenterprise.com,Summary,Generated,2024-09-14 01:10:00,5,1
M09000074,user7941@globalenterprise.com,Summary,Generated,2024-09-12 00:48:00,5,0
M09000075,user6878@globalenterprise.com,Summary,Generated,2024-09-14 00:42:00,4,0
M09000077,user7568@globalenterprise.com,Summary,Generated,2024-09-08 00:40:00,3,0
M09000078,user4787@globalenterprise.com,Summary,Generated,2024-09-16 01:09:00,3,0
M09000079,user5773@globalenterprise.com,Summary,Generated,2024-09-22 01:14:00,5,2
M09000080,user7809@globalenterprise.com,Summary,Generated,2024-09-23 01:28:00,2,0
M09000082,user3251@globalenterprise.com,Summary,Generated,2024-09-27 00:59:00,3,2
M09000083,user1049@globalenterprise.com,Summary,Generated,2024-09-07 01:51:00,2,2
M09000084,user6905@globalenterprise.com,Summary,Generated,2024-09-15 01:12:00,5,0
M09000085,user6336@globalenterprise.com,Summary,Generated,2024-09-26 01:51:00,2,1
M09000086,user1367@globalenterprise.com,Summary,Generated,2024-09-28 00:31:00,4,2
M09000087,user2933@globalenterprise.com,Summary,Generated,2024-09-05 01:11:00,5,0
M09000088,user1571@globalenterprise.com,Summary,Generated,2024-09-26 00:22:00,3,2
M09000089,user5063@globalenterprise.com,Summary,Generated,2024-09-07 00:35:00,2,1
M09000090,user2173@globalenterprise.com,Summary,Generated,2024-09-29 01:22:00,3,1
M09000091,user2112@globalenterprise.com,Summary,Generated,2024-09-08 00:25:00,5,0
M09000093,user7060@globalenterprise.com,Summary,Generated,2024-09-03 01:10:00,3,1
M09000095,user7993@globalenterprise.com,Summary,Generated,2024-09-04 01:20:00,5,1
M09000096,user982@globalenterprise.com,Summary,Generated,2024-09-08 01:49:00,2,2
M09000097,user6160@globalenterprise.com,Summary,Generated,2024-09-21 01:19:00,5,2
M09000098,user2677@globalenterprise.com,Summary,Generated,2024-09-08 01:48:00,4,0
M09000099,user3061@globalenterprise.com,Summary,Generated,2024-09-14 01:05:00,2,1
M09000100,user7445@globalenterprise.com,Summary,Generated,2024-09-11 01:34:00,4,1
M09000101,user1330@globalenterprise.com,Summary,Generated,2024-09-28 01:30:00,5,2
M09000102,user6992@globalenterprise.com,Summary,Generated,2024-09-28 00:40:00,4,2
M09000103,user5365@globalenterprise.com,Summary,Generated,2024-09-14 01:40:00,3,1
M09000104,user137@globalenterprise.com,Summary,Generated,2024-09-28 01:39:00,5,0
M09000105,user4730@globalenterprise.com,Summary,Generated,2024-09-04 01:37:00,3,0
M09000106,user2161@globalenterprise.com,Summary,Generated,2024-09-05 01:46:00,5,2
M09000107,user830@globalenterprise.com,Summary,Generated,2024-09-05 01:43:00,4,0
M09000109,user6835@globalenterprise.com,Summary,Generated,2024-09-17 01:12:00,4,0
M09000110,user31@globalenterprise.com,Summary,Generated,2024-09-05 02:00:00,3,1
M09000111,user2143@globalenterprise.com,Summary,Generated,2024-09-21 01:01:00,3,0
M09000112,user863@globalenterprise.com,Summary,Generated,2024-09-19 01:47:00,2,1
M09000113,user8597@globalenterprise.com,Summary,Generated,2024-09-04 00:39:00,2,2
M09000114,user4414@globalenterprise.com,Summary,Generated,2024-09-21 01:05:00,4,0
M09000115,user189@globalenterprise.com,Summary,Generated,2024-09-09 01:47:00,2,2
