Meeting ID,Host,Feature,Event Type,Event time,View Count,Regeneration Count
M12000001,user7541@globalenterprise.com,Summary,Generated,2024-12-22 01:25:00,5,2
M12000003,user2223@globalenterprise.com,Summary,Generated,2024-12-11 01:38:00,2,2
M12000004,user3585@globalenterprise.com,Summary,Generated,2024-12-02 01:52:00,2,2
M12000006,user5121@globalenterprise.com,Summary,Generated,2024-12-17 00:54:00,3,0
M12000007,user2806@globalenterprise.com,Summary,Generated,2024-12-08 01:42:00,3,0
M12000008,user7705@globalenterprise.com,Summary,Generated,2024-12-24 01:24:00,4,2
M12000010,user865@globalenterprise.com,Summary,Generated,2024-12-22 01:17:00,2,2
M12000011,user4881@globalenterprise.com,Summary,Generated,2024-12-13 02:00:00,3,1
M12000012,user3388@globalenterprise.com,Summary,Generated,2024-12-24 01:18:00,3,1
M12000013,user5493@globalenterprise.com,Summary,Generated,2024-12-27 00:48:00,4,1
M12000015,user3263@globalenterprise.com,Summary,Generated,2024-12-17 01:19:00,2,0
M12000017,user8158@globalenterprise.com,Summary,Generated,2024-12-12 00:48:00,2,1
M12000018,user7165@globalenterprise.com,Summary,Generated,2024-12-20 01:25:00,3,0
M12000019,user1272@globalenterprise.com,Summary,Generated,2024-12-08 00:20:00,3,2
M12000020,user5259@globalenterprise.com,Summary,Generated,2024-12-13 01:14:00,3,2
M12000021,user8316@globalenterprise.com,Summary,Generated,2024-12-20 00:58:00,3,1
M12000022,user1455@globalenterprise.com,Summary,Generated,2024-12-07 01:48:00,4,0
M12000024,user4210@globalenterprise.com,Summary,Generated,2024-12-25 00:56:00,5,2
M12000026,user6083@globalenterprise.com,Summary,Generated,2024-12-29 00:25:00,3,0
M12000027,user8118@globalenterprise.com,Summary,Generated,2024-12-18 00:52:00,5,0
M12000028,user9054@globalenterprise.com,Summary,Generated,2024-12-15 00:58:00,2,1
M12000030,user5692@globalenterprise.com,Summary,Generated,2024-12-02 00:28:00,5,1
M12000031,user5216@globalenterprise.com,Summary,Generated,2024-12-03 00:27:00,2,2
M12000032,user6307@globalenterprise.com,Summary,Generated,2024-12-18 00:27:00,2,1
M12000034,user8928@globalenterprise.com,Summary,Generated,2024-12-13 00:35:00,2,0
M12000036,user3251@globalenterprise.com,Summary,Generated,2024-12-09 00:41:00,2,1
M12000037,user5724@globalenterprise.com,Summary,Generated,2024-12-08 00:23:00,4,0
M12000038,user3680@globalenterprise.com,Summary,Generated,2024-12-06 00:48:00,3,1
M12000039,user5533@globalenterprise.com,Summary,Generated,2024-12-20 00:30:00,2,2
M12000040,user8921@globalenterprise.com,Summary,Generated,2024-12-19 01:03:00,2,1
M12000041,user7966@globalenterprise.com,Summary,Generated,2024-12-16 01:27:00,2,2
M12000043,user4359@globalenterprise.com,Summary,Generated,2024-12-15 00:25:00,2,1
M12000044,user8236@globalenterprise.com,Summary,Generated,2024-12-22 00:20:00,5,2
M12000046,user5061@globalenterprise.com,Summary,Generated,2024-12-14 00:46:00,2,0
M12000047,user7298@globalenterprise.com,Summary,Generated,2024-12-24 01:05:00,2,2
M12000048,user9146@globalenterprise.com,Summary,Generated,2024-12-20 01:33:00,5,2
M12000049,user2212@globalenterprise.com,Summary,Generated,2024-12-13 01:30:00,4,0
M12000050,user7283@globalenterprise.com,Summary,Generated,2024-12-14 01:04:00,2,2
M12000051,user3409@globalenterprise.com,Summary,Generated,2024-12-04 01:33:00,4,1
M12000052,user5524@globalenterprise.com,Summary,Generated,2024-12-05 01:41:00,4,1
M12000053,user234@globalenterprise.com,Summary,Generated,2024-12-19 00:26:00,4,0
M12000054,user9076@globalenterprise.com,Summary,Generated,2024-12-03 00:16:00,2,2
