Meeting ID,Host,Feature,Event Type,Event time,View Count,Regeneration Count
M06000000,user5803@globalenterprise.com,Summary,Generated,2024-06-18 01:27:00,3,3
M06000001,user182@globalenterprise.com,Summary,Generated,2024-06-04 00:43:00,4,2
M06000002,user7629@globalenterprise.com,Summary,Generated,2024-06-29 00:38:00,2,1
M06000005,user1473@globalenterprise.com,Summary,Generated,2024-06-25 01:53:00,3,3
M06000006,user955@globalenterprise.com,Summary,Generated,2024-06-05 01:17:00,2,2
M06000007,user674@globalenterprise.com,Summary,Generated,2024-06-17 01:47:00,2,2
M06000008,user7837@globalenterprise.com,Summary,Generated,2024-06-03 01:06:00,3,3
M06000009,user7089@globalenterprise.com,Summary,Generated,2024-06-17 01:02:00,2,1
M06000010,user3940@globalenterprise.com,Summary,Generated,2024-06-02 00:54:00,5,1
M06000011,user496@globalenterprise.com,Summary,Generated,2024-06-03 00:26:00,3,1
M06000013,user5462@globalenterprise.com,Summary,Generated,2024-06-03 01:07:00,5,2
M06000014,user3815@globalenterprise.com,Summary,Generated,2024-06-28 01:07:00,5,2
M06000016,user867@globalenterprise.com,Summary,Generated,2024-06-04 01:42:00,2,1
M06000017,user3905@globalenterprise.com,Summary,Generated,2024-06-25 01:48:00,4,2
M06000018,user135@globalenterprise.com,Summary,Generated,2024-06-17 01:15:00,2,3
M06000019,user7121@globalenterprise.com,Summary,Generated,2024-06-21 00:38:00,2,1
M06000020,user7710@globalenterprise.com,Summary,Generated,2024-06-27 01:33:00,3,3
M06000021,user3781@globalenterprise.com,Summary,Generated,2024-06-18 00:43:00,5,1
M06000022,user6493@globalenterprise.com,Summary,Generated,2024-06-22 00:46:00,3,1
M06000024,user3613@globalenterprise.com,Summary,Generated,2024-06-20 01:48:00,2,2
M06000026,user2328@globalenterprise.com,Summary,Generated,2024-06-22 01:33:00,5,2
M06000027,user2407@globalenterprise.com,Summary,Generated,2024-06-27 01:25:00,2,1
M06000028,user3265@globalenterprise.com,Summary,Generated,2024-06-29 01:40:00,4,2
M06000029,user3629@globalenterprise.com,Summary,Generated,2024-06-10 01:19:00,2,2
M06000031,user4535@globalenterprise.com,Summary,Generated,2024-06-29 01:27:00,2,1
M06000034,user4888@globalenterprise.com,Summary,Generated,2024-06-22 00:51:00,2,2
M06000036,user1483@globalenterprise.com,Summary,Generated,2024-06-12 01:18:00,5,1
M06000037,user7090@globalenterprise.com,Summary,Generated,2024-06-22 00:54:00,5,1
M06000039,user6306@globalenterprise.com,Summary,Generated,2024-06-14 01:26:00,3,3
M06000041,user5965@globalenterprise.com,Summary,Generated,2024-06-13 00:51:00,3,2
M06000043,user6994@globalenterprise.com,Summary,Generated,2024-06-09 00:30:00,3,1
M06000047,user5131@globalenterprise.com,Summary,Generated,2024-06-14 01:18:00,4,1
M06000049,user3896@globalenterprise.com,Summary,Generated,2024-06-18 00:44:00,4,2
M06000051,user7303@globalenterprise.com,Summary,Generated,2024-06-14 00:29:00,2,1
M06000052,user197@globalenterprise.com,Summary,Generated,2024-06-18 00:17:00,2,1
M06000053,user1733@globalenterprise.com,Summary,Generated,2024-06-19 00:54:00,2,1
M06000054,user942@globalenterprise.com,Summary,Generated,2024-06-23 00:48:00,4,2
M06000055,user7498@globalenterprise.com,Summary,Generated,2024-06-22 00:44:00,4,1
M06000058,user5241@globalenterprise.com,Summary,Generated,2024-06-09 01:19:00,5,1
M06000059,user6946@globalenterprise.com,Summary,Generated,2024-06-07 01:31:00,5,2
M06000060,user5886@globalenterprise.com,Summary,Generated,2024-06-16 00:28:00,4,2
M06000062,user3798@globalenterprise.com,Summary,Generated,2024-06-27 00:17:00,2,1
M06000063,user789@globalenterprise.com,Summary,Generated,2024-06-22 00:56:00,4,3
M06000064,user4413@globalenterprise.com,Summary,Generated,2024-06-28 01:46:00,4,3
M06000066,user4784@globalenterprise.com,Summary,Generated,2024-06-07 00:38:00,2,1
M06000067,user4489@globalenterprise.com,Summary,Generated,2024-06-25 00:42:00,4,1
M06000069,user4536@globalenterprise.com,Summary,Generated,2024-06-26 00:52:00,5,3
