Meeting ID,Host,Feature,Event Type,Event time,View Count,Regeneration Count
M11000001,user8992@globalenterprise.com,Summary,Generated,2024-11-15 00:35:00,2,1
M11000002,user829@globalenterprise.com,Summary,Generated,2024-11-25 00:29:00,5,1
M11000003,user5753@globalenterprise.com,Summary,Generated,2024-11-24 01:51:00,4,1
M11000004,user8620@globalenterprise.com,Summary,Generated,2024-11-15 01:01:00,4,0
M11000005,user2032@globalenterprise.com,Summary,Generated,2024-11-28 01:12:00,4,0
M11000006,user7398@globalenterprise.com,Summary,Generated,2024-11-18 00:59:00,4,0
M11000007,user3656@globalenterprise.com,Summary,Generated,2024-11-04 00:15:00,4,2
M11000008,user4865@globalenterprise.com,Summary,Generated,2024-11-29 01:13:00,5,0
M11000009,user8382@globalenterprise.com,Summary,Generated,2024-11-25 01:04:00,4,0
M11000010,user7828@globalenterprise.com,Summary,Generated,2024-11-06 00:18:00,4,2
M11000011,user3418@globalenterprise.com,Summary,Generated,2024-11-02 01:02:00,3,0
M11000012,user8109@globalenterprise.com,Summary,Generated,2024-11-10 01:37:00,2,1
M11000013,user6267@globalenterprise.com,Summary,Generated,2024-11-08 01:18:00,4,1
M11000014,user5574@globalenterprise.com,Summary,Generated,2024-11-24 01:48:00,5,1
M11000015,user4521@globalenterprise.com,Summary,Generated,2024-11-17 00:30:00,3,0
M11000016,user5561@globalenterprise.com,Summary,Generated,2024-11-29 01:06:00,2,2
M11000017,user7083@globalenterprise.com,Summary,Generated,2024-11-28 01:16:00,2,2
M11000018,user7014@globalenterprise.com,Summary,Generated,2024-11-06 00:35:00,3,2
M11000019,user5187@globalenterprise.com,Summary,Generated,2024-11-14 01:32:00,3,1
M11000020,user5934@globalenterprise.com,Summary,Generated,2024-11-06 01:15:00,5,0
M11000021,user5467@globalenterprise.com,Summary,Generated,2024-11-09 01:35:00,3,0
M11000022,user8145@globalenterprise.com,Summary,Generated,2024-11-07 00:54:00,4,0
M11000023,user4689@globalenterprise.com,Summary,Generated,2024-11-17 00:36:00,4,2
M11000024,user3321@globalenterprise.com,Summary,Generated,2024-11-24 01:30:00,4,2
M11000025,user5857@globalenterprise.com,Summary,Generated,2024-11-10 00:32:00,3,0
M11000026,user4593@globalenterprise.com,Summary,Generated,2024-11-15 01:29:00,2,1
