Meeting ID,Host,Feature,Event Type,Event time,View Count,Regeneration Count
M03000000,user4048@globalenterprise.com,Summary,Generated,2024-03-10 01:03:00,1,1
M03000003,user3784@globalenterprise.com,Summary,Generated,2024-03-14 02:00:00,1,1
M03000004,user6141@globalenterprise.com,Summary,Generated,2024-03-09 00:44:00,3,0
M03000006,user2593@globalenterprise.com,Summary,Generated,2024-03-18 00:27:00,1,0
M03000007,user591@globalenterprise.com,Summary,Generated,2024-03-05 00:51:00,2,1
M03000008,user3766@globalenterprise.com,Summary,Generated,2024-03-23 00:35:00,3,2
M03000009,user6179@globalenterprise.com,Summary,Generated,2024-03-02 01:47:00,3,2
M03000010,user3912@globalenterprise.com,Summary,Generated,2024-03-09 00:56:00,1,0
M03000011,user5172@globalenterprise.com,Summary,Generated,2024-03-04 00:28:00,2,1
M03000012,user3895@globalenterprise.com,Summary,Generated,2024-03-19 01:48:00,2,0
M03000013,user2940@globalenterprise.com,Summary,Generated,2024-03-28 01:05:00,1,0
M03000014,user3627@globalenterprise.com,Summary,Generated,2024-03-25 00:34:00,3,0
M03000015,user6174@globalenterprise.com,Summary,Generated,2024-03-05 01:46:00,2,0
M03000017,user3307@globalenterprise.com,Summary,Generated,2024-03-17 01:19:00,2,1
M03000018,user4748@globalenterprise.com,Summary,Generated,2024-03-12 01:33:00,3,2
M03000020,user2138@globalenterprise.com,Summary,Generated,2024-03-16 01:43:00,3,1
M03000021,user5380@globalenterprise.com,Summary,Generated,2024-03-28 01:49:00,3,2
M03000023,user2855@globalenterprise.com,Summary,Generated,2024-03-21 01:09:00,3,2
M03000025,user3291@globalenterprise.com,Summary,Generated,2024-03-08 01:25:00,2,2
M03000026,user1285@globalenterprise.com,Summary,Generated,2024-03-29 00:19:00,2,0
M03000028,user5781@globalenterprise.com,Summary,Generated,2024-03-22 01:20:00,1,0
M03000029,user5164@globalenterprise.com,Summary,Generated,2024-03-17 01:10:00,3,2
M03000031,user6338@globalenterprise.com,Summary,Generated,2024-03-28 01:16:00,3,1
M03000032,user7348@globalenterprise.com,Summary,Generated,2024-03-20 00:25:00,1,2
M03000033,user2185@globalenterprise.com,Summary,Generated,2024-03-21 00:52:00,2,2
M03000034,user4740@globalenterprise.com,Summary,Generated,2024-03-19 01:00:00,1,1
M03000037,user3056@globalenterprise.com,Summary,Generated,2024-03-26 00:33:00,2,1
M03000040,user2470@globalenterprise.com,Summary,Generated,2024-03-07 01:29:00,3,2
M03000041,user58@globalenterprise.com,Summary,Generated,2024-03-08 01:41:00,1,1
M03000043,user1120@globalenterprise.com,Summary,Generated,2024-03-06 00:20:00,1,2
M03000044,user6045@globalenterprise.com,Summary,Generated,2024-03-04 01:57:00,2,2
M03000047,user6437@globalenterprise.com,Summary,Generated,2024-03-13 01:54:00,3,2
M03000050,user71@globalenterprise.com,Summary,Generated,2024-03-02 00:23:00,3,0
M03000053,user4712@globalenterprise.com,Summary,Generated,2024-03-18 00:43:00,2,1
M03000054,user263@globalenterprise.com,Summary,Generated,2024-03-21 01:56:00,1,0
M03000058,user1886@globalenterprise.com,Summary,Generated,2024-03-26 01:10:00,3,2
M03000060,user1454@globalenterprise.com,Summary,Generated,2024-03-11 01:25:00,2,0
M03000061,user2064@globalenterprise.com,Summary,Generated,2024-03-05 00:39:00,2,0
M03000062,user2046@globalenterprise.com,Summary,Generated,2024-03-09 01:08:00,1,2
M03000063,user6699@globalenterprise.com,Summary,Generated,2024-03-28 01:16:00,1,0
M03000065,user4339@globalenterprise.com,Summary,Generated,2024-03-24 01:48:00,1,0
M03000067,user237@globalenterprise.com,Summary,Generated,2024-03-15 01:47:00,3,2
M03000069,user7132@globalenterprise.com,Summary,Generated,2024-03-24 01:24:00,2,1
M03000072,user4455@globalenterprise.com,Summary,Generated,2024-03-24 01:55:00,2,1
M03000075,user6657@globalenterprise.com,Summary,Generated,2024-03-22 00:47:00,3,2
M03000076,user3099@globalenterprise.com,Summary,Generated,2024-03-07 01:13:00,3,1
M03000077,user356@globalenterprise.com,Summary,Generated,2024-03-06 01:13:00,1,1
M03000078,user4835@globalenterprise.com,Summary,Generated,2024-03-23 01:32:00,3,0
M03000079,user6774@globalenterprise.com,Summary,Generated,2024-03-26 01:36:00,3,1
M03000084,user3583@globalenterprise.com,Summary,Generated,2024-03-17 00:53:00,2,1
M03000085,user1280@globalenterprise.com,Summary,Generated,2024-03-09 00:37:00,3,1
M03000087,user4161@globalenterprise.com,Summary,Generated,2024-03-28 00:58:00,1,0
M03000089,user1760@globalenterprise.com,Summary,Generated,2024-03-28 01:32:00,3,1
M03000090,user4387@globalenterprise.com,Summary,Generated,2024-03-19 01:43:00,2,2
M03000093,user4111@globalenterprise.com,Summary,Generated,2024-03-07 01:48:00,1,2
M03000094,user4278@globalenterprise.com,Summary,Generated,2024-03-08 01:01:00,3,1
M03000095,user4324@globalenterprise.com,Summary,Generated,2024-03-03 00:32:00,3,2
M03000100,user5919@globalenterprise.com,Summary,Generated,2024-03-26 00:43:00,1,2
M03000101,user3454@globalenterprise.com,Summary,Generated,2024-03-17 01:34:00,1,2
M03000102,user5428@globalenterprise.com,Summary,Generated,2024-03-05 01:31:00,3,0
M03000103,user5257@globalenterprise.com,Summary,Generated,2024-03-09 00:57:00,3,1
M03000104,user2505@globalenterprise.com,Summary,Generated,2024-03-18 00:15:00,2,1
M03000106,user2053@globalenterprise.com,Summary,Generated,2024-03-16 01:36:00,2,2
