Meeting ID,Host,Feature,Event Type,Event time,View Count,Regeneration Count
M02000005,user6020@globalenterprise.com,Summary,Generated,2024-02-03 01:39:00,1,1
M02000007,user233@globalenterprise.com,Summary,Generated,2024-02-15 00:22:00,3,2
M02000008,user5138@globalenterprise.com,Summary,Generated,2024-02-11 00:58:00,2,1
M02000009,user2679@globalenterprise.com,Summary,Generated,2024-02-25 00:41:00,3,1
M02000010,user6961@globalenterprise.com,Summary,Generated,2024-02-03 01:24:00,2,1
M02000012,user4453@globalenterprise.com,Summary,Generated,2024-02-24 00:53:00,2,1
M02000013,user923@globalenterprise.com,Summary,Generated,2024-02-12 00:48:00,3,2
M02000014,user4340@globalenterprise.com,Summary,Generated,2024-02-11 00:48:00,2,2
M02000015,user2478@globalenterprise.com,Summary,Generated,2024-02-03 01:51:00,1,0
M02000016,user1883@globalenterprise.com,Summary,Generated,2024-02-13 01:13:00,3,0
M02000017,user2975@globalenterprise.com,Summary,Generated,2024-02-23 00:15:00,3,2
M02000019,user4040@globalenterprise.com,Summary,Generated,2024-02-16 00:24:00,3,1
M02000020,user7186@globalenterprise.com,Summary,Generated,2024-02-17 01:19:00,2,1
M02000021,user2218@globalenterprise.com,Summary,Generated,2024-02-15 00:46:00,2,2
M02000023,user1284@globalenterprise.com,Summary,Generated,2024-02-14 01:03:00,2,2
M02000024,user2894@globalenterprise.com,Summary,Generated,2024-02-20 00:16:00,2,1
M02000027,user1552@globalenterprise.com,Summary,Generated,2024-02-28 01:48:00,1,2
M02000032,user890@globalenterprise.com,Summary,Generated,2024-02-10 01:30:00,2,2
M02000035,user2959@globalenterprise.com,Summary,Generated,2024-02-03 00:45:00,2,0
M02000037,user5573@globalenterprise.com,Summary,Generated,2024-02-25 01:17:00,1,2
M02000039,user2583@globalenterprise.com,Summary,Generated,2024-02-22 01:19:00,1,0
M02000044,user5702@globalenterprise.com,Summary,Generated,2024-02-27 01:07:00,1,1
M02000047,user741@globalenterprise.com,Summary,Generated,2024-02-09 02:00:00,3,0
M02000052,user2683@globalenterprise.com,Summary,Generated,2024-02-10 00:44:00,3,2
M02000053,user2810@globalenterprise.com,Summary,Generated,2024-02-09 00:51:00,2,2
M02000054,user7013@globalenterprise.com,Summary,Generated,2024-02-23 01:49:00,2,0
M02000056,user2694@globalenterprise.com,Summary,Generated,2024-02-19 00:24:00,1,2
M02000057,user6325@globalenterprise.com,Summary,Generated,2024-02-22 01:46:00,1,0
M02000059,user3312@globalenterprise.com,Summary,Generated,2024-02-07 00:26:00,2,0
M02000060,user6109@globalenterprise.com,Summary,Generated,2024-02-24 01:29:00,3,0
M02000064,user1236@globalenterprise.com,Summary,Generated,2024-02-06 01:51:00,2,2
M02000066,user4163@globalenterprise.com,Summary,Generated,2024-02-28 01:44:00,1,0
M02000067,user2414@globalenterprise.com,Summary,Generated,2024-02-16 01:45:00,1,1
M02000068,user2078@globalenterprise.com,Summary,Generated,2024-02-14 00:54:00,1,0
M02000071,user5015@globalenterprise.com,Summary,Generated,2024-02-16 01:35:00,2,0
M02000076,user394@globalenterprise.com,Summary,Generated,2024-02-15 01:23:00,2,2
M02000078,user173@globalenterprise.com,Summary,Generated,2024-02-21 01:30:00,3,1
M02000079,user4405@globalenterprise.com,Summary,Generated,2024-02-14 00:49:00,2,2
M02000081,user2709@globalenterprise.com,Summary,Generated,2024-02-29 00:27:00,2,0
M02000084,user917@globalenterprise.com,Summary,Generated,2024-02-10 01:32:00,1,1
M02000087,user925@globalenterprise.com,Summary,Generated,2024-02-18 01:36:00,1,1
M02000088,user2788@globalenterprise.com,Summary,Generated,2024-02-17 01:09:00,1,1
M02000090,user3192@globalenterprise.com,Summary,Generated,2024-02-19 01:22:00,3,2
M02000091,user1018@globalenterprise.com,Summary,Generated,2024-02-19 00:38:00,2,2
M02000092,user6487@globalenterprise.com,Summary,Generated,2024-02-13 01:07:00,3,2
M02000093,user3554@globalenterprise.com,Summary,Generated,2024-02-28 01:20:00,1,1
M02000094,user1997@globalenterprise.com,Summary,Generated,2024-02-23 00:26:00,3,2
M02000101,user4666@globalenterprise.com,Summary,Generated,2024-02-09 01:09:00,1,1
M02000107,user4626@globalenterprise.com,Summary,Generated,2024-02-21 01:02:00,1,0
M02000111,user1073@globalenterprise.com,Summary,Generated,2024-02-14 01:08:00,2,0
M02000112,user5320@globalenterprise.com,Summary,Generated,2024-02-29 00:34:00,3,1
M02000113,user4651@globalenterprise.com,Summary,Generated,2024-02-29 01:45:00,2,1
M02000114,user7008@globalenterprise.com,Summary,Generated,2024-02-28 01:32:00,1,2
M02000115,user6708@globalenterprise.com,Summary,Generated,2024-02-15 01:07:00,3,2
M02000116,user6790@globalenterprise.com,Summary,Generated,2024-02-16 01:21:00,2,0
M02000117,user6772@globalenterprise.com,Summary,Generated,2024-02-29 01:07:00,1,0
M02000120,user1873@globalenterprise.com,Summary,Generated,2024-02-26 00:31:00,2,1
M02000121,user5323@globalenterprise.com,Summary,Generated,2024-02-13 00:55:00,3,2
M02000123,user3619@globalenterprise.com,Summary,Generated,2024-02-14 00:39:00,3,2
M02000126,user4137@globalenterprise.com,Summary,Generated,2024-02-14 00:58:00,3,2
M02000127,user801@globalenterprise.com,Summary,Generated,2024-02-27 00:53:00,2,1
M02000133,user4698@globalenterprise.com,Summary,Generated,2024-02-26 01:24:00,2,0
M02000135,user5213@globalenterprise.com,Summary,Generated,2024-02-07 01:24:00,3,2
M02000136,user1803@globalenterprise.com,Summary,Generated,2024-02-22 00:25:00,1,1
M02000137,user6681@globalenterprise.com,Summary,Generated,2024-02-04 01:16:00,1,0
