Meeting ID,Host,Feature,Event Type,Event time,View Count,Regeneration Count
M04000000,user5804@globalenterprise.com,Summary,Generated,2024-04-28 01:52:00,2,0
M04000002,user6337@globalenterprise.com,Summary,Generated,2024-04-18 01:54:00,3,0
M04000003,user366@globalenterprise.com,Summary,Generated,2024-04-15 00:39:00,4,1
M04000004,user594@globalenterprise.com,Summary,Generated,2024-04-25 01:29:00,4,0
M04000007,user4542@globalenterprise.com,Summary,Generated,2024-04-27 01:29:00,3,0
M04000008,user7289@globalenterprise.com,Summary,Generated,2024-04-17 01:34:00,3,1
M04000009,user1667@globalenterprise.com,Summary,Generated,2024-04-06 00:36:00,3,1
M04000010,user6913@globalenterprise.com,Summary,Generated,2024-04-06 01:47:00,5,1
M04000012,user2807@globalenterprise.com,Summary,Generated,2024-04-29 01:27:00,4,1
M04000014,user6437@globalenterprise.com,Summary,Generated,2024-04-28 01:32:00,3,2
M04000015,user1452@globalenterprise.com,Summary,Generated,2024-04-02 01:40:00,5,0
M04000017,user24@globalenterprise.com,Summary,Generated,2024-04-16 00:47:00,2,2
M04000019,user6232@globalenterprise.com,Summary,Generated,2024-04-05 01:12:00,4,0
M04000021,user3101@globalenterprise.com,Summary,Generated,2024-04-08 01:18:00,4,1
M04000022,user1647@globalenterprise.com,Summary,Generated,2024-04-24 00:44:00,4,1
M04000023,user6223@globalenterprise.com,Summary,Generated,2024-04-14 01:35:00,2,2
M04000025,user1704@globalenterprise.com,Summary,Generated,2024-04-29 00:39:00,3,1
M04000026,user935@globalenterprise.com,Summary,Generated,2024-04-09 01:40:00,3,1
M04000028,user7160@globalenterprise.com,Summary,Generated,2024-04-03 01:16:00,2,0
M04000030,user6996@globalenterprise.com,Summary,Generated,2024-04-11 00:36:00,3,1
M04000031,user5400@globalenterprise.com,Summary,Generated,2024-04-13 01:42:00,3,0
M04000032,user7279@globalenterprise.com,Summary,Generated,2024-04-14 01:20:00,5,2
M04000035,user1589@globalenterprise.com,Summary,Generated,2024-04-03 01:34:00,4,1
M04000036,user3265@globalenterprise.com,Summary,Generated,2024-04-18 00:40:00,4,2
M04000037,user1722@globalenterprise.com,Summary,Generated,2024-04-18 01:29:00,3,1
M04000039,user3259@globalenterprise.com,Summary,Generated,2024-04-02 00:17:00,5,0
M04000041,user1869@globalenterprise.com,Summary,Generated,2024-04-18 00:47:00,3,0
M04000042,user492@globalenterprise.com,Summary,Generated,2024-04-26 01:52:00,2,2
M04000043,user4188@globalenterprise.com,Summary,Generated,2024-04-22 00:44:00,4,2
M04000048,user3210@globalenterprise.com,Summary,Generated,2024-04-05 01:59:00,5,0
M04000049,user551@globalenterprise.com,Summary,Generated,2024-04-08 01:48:00,5,1
